road_node_id,original_node_id,x,y
node_000197,264602156,116.5722327,40.033068
node_000198,1985004075,116.4733849,39.8084681
node_000199,1230291503,116.4114641,39.8308133
node_000200,380764721,116.3598815,39.9059032
node_000201,11707630130,116.6720254,39.8755609
node_000202,11707630131,116.6721708,39.8753019
node_000203,264602169,116.5971322,40.0309544
node_000204,1230291513,116.4557375,39.8325486
node_000205,1230291515,116.4459956,39.8309107
node_000206,1230291517,116.4462925,39.8312727
node_000207,605307455,116.2216682,39.844181
node_000208,12795904579,116.3424577,39.8810406
node_000209,12795904580,116.3426317,39.8805974
node_000210,1230291524,116.455793,39.832038
node_000211,11707630149,116.6782397,39.8717326
node_000212,1985004102,116.4888898,39.8104293
node_000213,264602187,116.60965,40.0387579
node_000214,1230291533,116.4220371,39.8306183
node_000215,11707630157,116.6859683,39.8697025
node_000216,9789571663,116.0960393,39.9630569
node_000217,1230291535,116.4395707,39.8305988
node_000218,11707630159,116.6862316,39.8695368
node_000219,264602200,116.6139372,40.0520466
node_000220,12183372376,116.395325,39.8222662
node_000221,605307480,116.2258377,39.848276
node_000222,12183372379,116.3956922,39.8222761
node_000223,321208920,116.4799037,39.9068114
node_000224,605307482,116.2261399,39.8479679
node_000225,12183372382,116.3953353,39.8221233
node_000226,1230291548,116.4366159,39.8307603
node_000227,1985004125,116.4883015,39.8144844
node_000228,12183372385,116.395699,39.8221419
node_000229,1230291557,116.446973,39.8311446
node_000230,331006566,116.4677497,39.8027518
node_000231,380764784,116.3547769,39.9057523
node_000232,11328750220,116.1590206,39.8815414
node_000233,1872544399,116.2047606,39.9002459
node_000234,237535900,116.3108795,39.9384932
node_000235,289129120,116.4732377,39.8411537
node_000236,534250146,116.3125912,39.8544074
node_000237,9699918502,116.4277685,39.9433912
node_000238,701760169,116.434366,39.9019714
node_000239,9781428907,116.1222921,39.9520873
node_000240,654148271,116.4513868,40.0191288
node_000241,321422010,116.2903635,39.9190678
node_000242,289129150,116.4728585,39.8405713
node_000243,10886791874,116.154807,39.9232928
node_000244,237568719,116.3737394,39.981444
node_000245,1351272680,116.4552243,39.9260624
node_000246,237535958,116.3138335,39.9379934
node_000247,1423966941,116.2819101,40.0075794
node_000248,289129190,116.4735723,39.8413984
node_000249,322110198,116.4132081,39.8555186
node_000250,4976460539,116.4525663,39.684371
node_000251,321209089,116.4838223,39.9027654
node_000252,11264475912,116.2775119,39.9062669
node_000253,11264475913,116.2775107,39.906177
